Nr,X,Y
1,5537137.70,7471606.91
2,5537136.47,7471607.17
3,5537135.07,7471606.16
4,5537132.84,7471603.66
5,5537131.00,7471603.49
6,5537127.62,7471602.57
7,5537125.00,7471602.53
8,5537123.16,7471602.66
9,5537121.49,7471602.39
10,5537119.65,7471603.31
11,5537118.64,7471602.26
12,5537117.50,7471602.00
13,5537116.76,7471601.74
49,5537114.18,7471606.56
31,5537114.79,7471603.80
50,5537113.34,7471605.94
14,5537116.02,7471601.74
15,5537115.14,7471601.56
51,5537111.94,7471605.94
52,5537110.43,7471605.47
32,5537113.45,7471603.37
16,5537113.84,7471601.18
17,5537112.92,7471600.65
18,5537133.82,7471606.61
19,5537132.68,7471606.26
20,5537129.83,7471605.65
29,5537120.63,7471604.68
21,5537128.44,7471605.27
22,5537127.22,7471605.01
23,5537125.95,7471604.66
24,5537124.81,7471604.88
25,5537123.87,7471604.79
26,5537122.86,7471604.85
27,5537121.94,7471604.85
28,5537121.28,7471604.74
30,5537118.08,7471604.70
33,5537134.58,7471608.25
34,5537133.42,7471608.86
35,5537132.23,7471608.64
36,5537130.98,7471608.45
37,5537129.65,7471607.79
38,5537127.44,7471607.57
39,5537126.03,7471607.44
40,5537124.79,7471607.28
41,5537123.69,7471607.22
42,5537122.62,7471607.24
43,5537121.74,7471607.24
44,5537120.60,7471607.27
45,5537119.75,7471607.13
46,5537118.72,7471606.91
47,5537117.62,7471607.15
48,5537116.35,7471606.74
53,5537136.13,7471610.37
54,5537135.34,7471610.44
55,5537134.31,7471610.72
56,5537132.50,7471611.36
57,5537131.12,7471611.16
58,5537130.06,7471611.07
59,5537128.95,7471610.85
60,5537127.30,7471610.57
61,5537126.01,7471610.24
62,5537123.95,7471609.80
63,5537121.85,7471609.81
64,5537120.95,7471609.64
65,5537120.12,7471609.60
66,5537119.24,7471609.53
67,5537118.30,7471609.33
68,5537117.16,7471609.07
69,5537116.05,7471608.76
70,5537112.88,7471608.50
71,5537111.70,7471608.50
72,5537110.27,7471608.48
73,5537136.45,7471612.27
74,5537135.11,7471612.90
75,5537133.91,7471612.86
76,5537135.00,7471615.01
77,5537133.23,7471614.41
78,5537130.49,7471613.87
79,5537129.40,7471613.58
80,5537126.85,7471613.08
81,5537121.64,7471612.16
82,5537119.82,7471612.16
83,5537118.84,7471611.79
84,5537117.70,7471611.57
85,5537116.74,7471611.22
86,5537115.68,7471610.87
87,5537114.57,7471610.93
88,5537113.48,7471610.84
89,5537112.26,7471610.73
90,5537110.70,7471610.87
91,5537109.23,7471610.84
92,5537108.12,7471610.73
93,5537134.20,7471616.83
94,5537133.35,7471616.37
95,5537132.50,7471616.07
96,5537131.71,7471615.85
97,5537129.76,7471615.87
98,5537128.84,7471615.72
99,5537127.59,7471615.48
100,5537124.04,7471614.89
101,5537122.92,7471614.82
102,5537121.85,7471614.56
103,5537120.86,7471614.34
104,5537117.45,7471614.03
105,5537116.26,7471613.72
106,5537113.96,7471613.35
107,5537111.82,7471612.91
108,5537110.53,7471612.96
109,5537108.88,7471613.15
110,5537107.66,7471613.18
111,5537133.35,7471619.20
112,5537132.63,7471619.11
113,5537131.36,7471618.54
114,5537128.62,7471618.04
115,5537127.41,7471617.86
116,5537126.34,7471617.67
117,5537125.31,7471617.47
118,5537124.24,7471617.29
119,5537122.31,7471616.77
120,5537121.00,7471617.16
121,5537119.86,7471616.97
122,5537118.52,7471616.53
123,5537117.12,7471616.20
124,5537116.09,7471616.37
125,5537114.64,7471615.96
126,5537113.09,7471615.65
127,5537111.29,7471615.39
128,5537109.17,7471615.30
129,5537133.15,7471622.24
130,5537132.17,7471621.72
131,5537131.62,7471621.54
132,5537130.74,7471621.37
133,5537129.71,7471620.93
134,5537128.33,7471620.73
135,5537126.76,7471620.27
136,5537125.73,7471619.86
137,5537124.72,7471619.66
138,5537123.73,7471619.53
139,5537122.73,7471619.20
140,5537121.83,7471619.02
141,5537119.75,7471619.20
142,5537116.40,7471618.24
143,5537114.40,7471618.17
144,5537112.34,7471618.28
145,5537110.79,7471617.78
146,5537109.89,7471617.69
147,5537108.95,7471617.80
148,5537107.68,7471617.38
149,5537106.28,7471616.97
150,5537132.41,7471624.52
151,5537131.14,7471624.24
152,5537129.93,7471624.13
153,5537129.14,7471623.87
154,5537126.10,7471622.60
155,5537124.76,7471622.33
156,5537122.92,7471622.27
157,5537121.67,7471621.92
158,5537120.51,7471621.74
159,5537119.42,7471621.72
160,5537118.37,7471621.43
161,5537117.40,7471621.28
162,5537116.55,7471621.11
163,5537115.76,7471620.86
164,5537114.88,7471620.69
165,5537113.99,7471620.36
166,5537130.65,7471626.87
167,5537129.72,7471626.61
168,5537123.08,7471624.48
169,5537122.06,7471624.24
170,5537121.11,7471624.00
171,5537118.81,7471623.65
172,5537116.71,7471623.61
173,5537115.37,7471623.23
174,5537114.37,7471622.95
175,5537113.51,7471622.51
176,5537112.61,7471622.01
177,5537111.48,7471621.26
178,5537110.01,7471620.96
179,5537108.08,7471620.47
180,5537105.85,7471619.91
181,5537130.12,7471629.78
182,5537128.74,7471628.93
183,5537127.79,7471628.56
184,5537125.71,7471627.83
185,5537124.00,7471627.26
186,5537122.65,7471626.65
187,5537121.73,7471626.41
188,5537120.83,7471626.10
189,5537119.34,7471625.60
190,5537117.50,7471625.36
191,5537128.63,7471631.96
192,5537127.77,7471631.59
193,5537126.35,7471631.81
194,5537124.77,7471630.65
195,5537122.76,7471629.71
196,5537121.31,7471628.94
197,5537120.13,7471628.46
198,5537118.11,7471628.00
199,5537116.14,7471627.47
200,5537115.42,7471626.33
201,5537113.69,7471625.68
202,5537112.15,7471625.11
203,5537109.26,7471624.58
204,5537107.31,7471622.50
