Nr,X,Y
1,5537110.05,7471633.37
2,5537111.31,7471633.57
3,5537112.32,7471633.87
4,5537113.45,7471634.57
5,5537114.42,7471635.10
6,5537115.66,7471635.49
7,5537117.16,7471636.72
8,5537118.42,7471636.96
9,5537119.46,7471637.81
10,5537110.85,7471635.16
11,5537111.53,7471635.67
12,5537111.97,7471637.42
13,5537112.79,7471637.70
14,5537114.84,7471638.10
15,5537116.45,7471638.96
16,5537117.80,7471639.31
17,5537118.70,7471639.63
18,5537119.59,7471639.94
19,5537109.08,7471635.95
20,5537109.85,7471636.30
21,5537110.80,7471637.54
22,5537109.50,7471638.59
23,5537110.38,7471640.10
27,5537114.27,7471640.96
26,5537113.08,7471641.17
24,5537111.27,7471640.98
25,5537112.08,7471640.96
28,5537115.03,7471642.63
29,5537116.50,7471643.07
30,5537117.90,7471643.37
31,5537119.55,7471642.46
32,5537121.39,7471644.35
77,5537113.45,7471649.84
100,5537110.23,7471653.24
88,5537107.06,7471652.59
35,5537106.32,7471642.96
54,5537117.06,7471645.87
53,5537116.10,7471646.40
52,5537116.24,7471645.17
51,5537114.49,7471646.47
50,5537114.77,7471645.21
49,5537113.49,7471645.68
42,5537119.04,7471644.84
41,5537113.80,7471643.44
40,5537112.56,7471643.37
39,5537111.47,7471642.79
37,5537110.02,7471642.42
38,5537110.56,7471643.68
36,5537108.37,7471642.65
64,5537114.31,7471647.64
65,5537114.33,7471649.10
66,5537114.94,7471649.29
67,5537115.64,7471649.43
68,5537116.47,7471649.41
69,5537117.27,7471648.36
70,5537118.01,7471649.22
48,5537111.89,7471645.82
55,5537105.83,7471648.10
43,5537105.85,7471645.73
33,5537107.13,7471640.58
34,5537108.93,7471640.67
75,5537108.86,7471650.41
56,5537107.51,7471648.21
57,5537108.51,7471648.18
71,5537120.39,7471648.35
72,5537122.03,7471648.68
73,5537123.47,7471649.22
74,5537124.72,7471650.36
76,5537110.79,7471650.21
78,5537114.10,7471650.43
79,5537114.67,7471650.54
80,5537115.46,7471650.71
81,5537116.97,7471651.00
82,5537119.98,7471650.78
83,5537121.32,7471650.98
84,5537122.01,7471651.25
85,5537123.23,7471651.14
86,5537124.15,7471651.71
87,5537125.07,7471651.80
58,5537109.48,7471648.16
44,5537107.22,7471645.84
45,5537108.54,7471646.15
46,5537109.61,7471646.26
47,5537110.84,7471645.91
59,5537111.08,7471647.26
60,5537110.09,7471648.14
61,5537110.79,7471648.16
62,5537111.62,7471648.14
63,5537112.28,7471648.16
89,5537108.60,7471651.86
90,5537109.28,7471651.75
91,5537113.20,7471651.56
92,5537116.25,7471652.50
93,5537117.01,7471652.74
109,5537118.44,7471654.92
110,5537119.53,7471654.88
95,5537119.66,7471653.43
96,5537123.45,7471654.33
94,5537117.49,7471653.39
97,5537107.20,7471654.53
98,5537108.27,7471653.47
99,5537109.19,7471653.32
101,5537111.03,7471653.32
102,5537112.59,7471652.75
103,5537112.37,7471654.00
104,5537113.40,7471653.41
105,5537114.10,7471653.61
106,5537115.52,7471653.34
107,5537116.00,7471654.26
108,5537116.55,7471654.35
111,5537123.61,7471656.32
112,5537107.31,7471656.39
113,5537108.38,7471656.43
131,5537112.17,7471659.48
130,5537111.19,7471658.91
133,5537113.99,7471657.83
132,5537113.27,7471658.01
120,5537113.95,7471655.45
119,5537112.48,7471656.80
118,5537111.78,7471656.87
116,5537111.14,7471656.28
117,5537111.05,7471657.57
114,5537110.33,7471655.16
115,5537109.78,7471656.39
129,5537110.51,7471658.16
128,5537109.67,7471658.05
121,5537115.13,7471656.08
122,5537116.84,7471656.76
123,5537117.98,7471656.91
124,5537119.09,7471657.18
125,5537120.41,7471657.44
126,5537121.90,7471657.55
127,5537123.21,7471657.85
134,5537115.56,7471659.06
135,5537117.75,7471659.04
136,5537120.40,7471659.72
137,5537121.37,7471659.89
138,5537111.73,7471661.59
139,5537112.59,7471661.13
140,5537115.92,7471661.28
141,5537116.57,7471661.35
142,5537117.52,7471661.61
143,5537118.90,7471661.96
144,5537121.09,7471662.66
145,5537113.79,7471663.34
146,5537115.15,7471663.41
147,5537117.89,7471663.93
148,5537121.04,7471665.14
149,5537113.18,7471665.40
150,5537115.39,7471665.95
151,5537120.12,7471666.32
152,5537119.33,7471668.16
