Nr,X,Y
68,5537094.35,7471654.16
67,5537095.28,7471654.23
66,5537096.48,7471654.53
65,5537097.66,7471654.67
64,5537099.25,7471654.54
63,5537100.77,7471655.14
62,5537102.67,7471655.80
61,5537105.04,7471655.99
60,5537084.71,7471655.90
59,5537087.01,7471655.91
58,5537088.23,7471656.06
57,5537089.76,7471656.67
56,5537091.82,7471657.13
55,5537093.47,7471657.13
54,5537094.54,7471657.23
53,5537095.52,7471657.26
52,5537097.01,7471657.39
51,5537098.77,7471657.87
50,5537100.20,7471658.15
47,5537105.02,7471658.77
48,5537102.75,7471658.54
49,5537101.61,7471658.33
43,5537085.14,7471658.54
42,5537086.89,7471658.63
41,5537088.05,7471658.71
38,5537091.03,7471659.02
39,5537089.88,7471658.77
40,5537088.96,7471658.48
37,5537092.87,7471659.51
36,5537094.11,7471659.60
35,5537095.19,7471660.17
34,5537096.54,7471660.32
33,5537098.09,7471660.49
32,5537099.28,7471660.63
19,5537096.09,7471662.38
20,5537094.31,7471662.25
21,5537093.21,7471662.05
26,5537084.18,7471660.34
1,5537108.71,7471667.17
2,5537105.79,7471666.83
13,5537110.16,7471664.60
3,5537102.36,7471666.48
4,5537101.30,7471666.11
27,5537108.45,7471661.85
5,5537097.60,7471665.09
6,5537095.75,7471664.60
12,5537084.45,7471662.86
11,5537087.20,7471663.98
10,5537088.88,7471664.03
9,5537089.96,7471663.78
8,5537091.49,7471664.72
7,5537093.88,7471665.09
14,5537103.83,7471664.06
15,5537101.50,7471663.81
16,5537099.74,7471663.05
17,5537098.51,7471662.93
18,5537097.22,7471662.97
25,5537085.26,7471660.64
24,5537086.31,7471661.27
23,5537087.37,7471661.31
22,5537088.75,7471661.39
28,5537107.15,7471661.39
29,5537104.77,7471661.05
30,5537103.71,7471661.36
31,5537101.50,7471661.08
95,5537102.91,7471648.47
96,5537100.74,7471649.18
97,5537097.72,7471648.63
98,5537096.62,7471648.07
45,5537083.12,7471658.88
44,5537084.47,7471658.83
109,5537081.92,7471647.95
99,5537095.49,7471647.66
100,5537094.34,7471649.04
101,5537093.50,7471648.31
102,5537092.55,7471648.33
103,5537091.00,7471648.22
104,5537089.11,7471647.54
105,5537088.22,7471648.09
106,5537086.90,7471648.01
107,5537085.56,7471648.02
108,5537083.88,7471647.72
79,5537104.92,7471652.58
80,5537103.87,7471652.93
81,5537101.97,7471652.40
82,5537099.94,7471651.95
83,5537097.97,7471651.02
84,5537095.91,7471650.69
85,5537094.11,7471650.96
86,5537092.82,7471650.75
87,5537091.65,7471651.11
88,5537089.84,7471650.81
89,5537088.29,7471650.46
90,5537086.57,7471650.71
91,5537085.31,7471650.35
92,5537084.25,7471650.88
93,5537083.36,7471650.33
94,5537082.05,7471650.43
78,5537082.09,7471653.45
77,5537083.18,7471653.64
76,5537084.03,7471653.81
75,5537084.94,7471653.49
74,5537086.10,7471653.60
73,5537086.89,7471653.28
72,5537087.86,7471652.87
71,5537089.72,7471654.26
70,5537091.38,7471653.26
69,5537092.98,7471654.22
46,5537107.8,7471658.71
